,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
62,노가네,서울특별시 종로구 명륜길 45-19,한정식 / 백반 / 정통 한식,만원 미만,1,
63,그날우리는,서울특별시 종로구 대학로9길 29,기타 한식,만원 미만,2,
64,초가삼간,서울특별시 종로구 대학로5가길 3,한정식 / 백반 / 정통 한식,만원 미만,1,
65,신전떡볶이,서울특별시 종로구 성균관로 15-1,기타 한식,만원 미만,1,
66,명신순대국,서울특별시 종로구 창경궁로29길 37-1,탕 / 찌개 / 전골,만원 미만,1,
67,제주흑돼지순대국밥,서울특별시 종로구 동숭길 113 2F,탕 / 찌개 / 전골,만원 미만,1,
68,낙산애,서울특별시 종로구 동숭길 50,닭 / 오리 요리,만원 미만,1,
69,진보식당,서울특별시 종로구 혜화로9길 3,한정식 / 백반 / 정통 한식,만원 미만,1,
70,젤로맛있는집,서울특별시 종로구 성균관로 90,기타 한식,만원 미만,1,
71,지지고,서울특별시 종로구 명륜3길 11-6,기타 한식,만원 미만,1,
72,한입가득,서울특별시 종로구 명륜길 27,한정식 / 백반 / 정통 한식,만원 미만,1,
73,작은마을생선구이,서울특별시 종로구 명륜길 58,한정식 / 백반 / 정통 한식,만원 미만,1,
74,풍농,서울특별시 종로구 이화장길 6,국수 / 면 요리,만원 미만,1,
75,국수나무,서울특별시 종로구 대학로 85,국수 / 면 요리,만원 미만,1,
76,명륜건강원,서울특별시 종로구 혜화로3길 5 아남아파트 301동 103호,한정식 / 백반 / 정통 한식,만원-2만원,98,4.3
77,저팔계식당,서울특별시 종로구 명륜길 37,고기 요리,만원-2만원,12,4.1
78,고기공방,서울특별시 종로구 대명1길 16-17,고기 요리,만원-2만원,7,4.0
79,촌놈,서울특별시 종로구 대학로8가길 48,고기 요리,만원-2만원,9,3.8
80,마당너른집,서울특별시 종로구 낙산길 3-4,탕 / 찌개 / 전골,만원-2만원,16,3.8
81,포크랜드,서울특별시 종로구 창경궁로 258-10 호정빌딩,고기 요리,만원-2만원,13,3.7
82,조선식당,서울특별시 종로구 대학로 128,한정식 / 백반 / 정통 한식,만원-2만원,15,3.7
83,쪼리375,서울특별시 종로구 대학로11길 16 1F,닭 / 오리 요리,만원-2만원,11,3.7
84,혜화곱창,서울특별시 종로구 대명1길 20,고기 요리,만원-2만원,13,3.6
85,부부식당,서울특별시 종로구 동숭길 43 2F,한정식 / 백반 / 정통 한식,만원-2만원,16,3.4
86,혜화돌쇠아저씨,서울특별시 종로구 대학로 129-8,기타 한식,만원-2만원,46,3.4
87,대포찜닭,서울특별시 종로구 대학로9길 18 3F,닭 / 오리 요리,만원-2만원,23,3.4
88,대통령삼겹살,서울특별시 종로구 대학로14길 12-1,고기 요리,만원-2만원,11,3.4
89,도토리편백집,서울특별시 종로구 창경궁로34길 26,탕 / 찌개 / 전골,만원-2만원,10,3.2
90,원조꼬치오뎅,서울특별시 종로구 창경궁로 247-1,기타 한식,만원-2만원,9,3.2
91,신우양돈,서울특별시 종로구 대명길 19-8,고기 요리,만원-2만원,1,
92,벌교영양추어탕,서울특별시 종로구 명륜길 17,탕 / 찌개 / 전골,만원-2만원,5,
93,삼형제쭈꾸미,서울특별시 종로구 동숭길 68 2F,해산물 요리,만원-2만원,10,
94,봉추찜닭,서울특별시 종로구 대학로11길 27 1F,닭 / 오리 요리,만원-2만원,6,
95,정통집,서울특별시 종로구 대명길 29-3 1F,한정식 / 백반 / 정통 한식,만원-2만원,4,
96,마로화적,서울특별시 종로구 성균관로16길 5,고기 요리,만원-2만원,4,
97,꺽정이네돈장작구이,서울특별시 종로구 대명1길 25,고기 요리,만원-2만원,1,
98,깐부치킨,서울특별시 종로구 동숭길 100,닭 / 오리 요리,만원-2만원,1,
99,림스치킨,서울특별시 종로구 대학로 143,닭 / 오리 요리,만원-2만원,3,
100,홍곱창,서울특별시 종로구 성균관로5길 13,고기 요리,만원-2만원,10,
101,부추곱창,서울특별시 종로구 대명1길 9 1F,고기 요리,만원-2만원,4,
102,혜화시장,서울특별시 종로구 창경궁로34길 24-6 2F,퓨전 한식,만원-2만원,4,
103,포도원삼계탕,서울특별시 종로구 창경궁로26길 41-5,탕 / 찌개 / 전골,만원-2만원,5,
104,은식당,서울특별시 종로구 대학로9길 29,고기 요리,만원-2만원,2,
105,솔나무길된장예술,서울특별시 종로구 대학로11길 9-2,한정식 / 백반 / 정통 한식,만원-2만원,9,
106,대학로족발보쌈,서울특별시 종로구 대학로 149,고기 요리,만원-2만원,1,
107,낭풍,서울특별시 종로구 대명1길 19,탕 / 찌개 / 전골,만원-2만원,3,
108,내가찜한닭,서울특별시 종로구 대명길 41,닭 / 오리 요리,만원-2만원,9,
109,안동찜닭,서울특별시 종로구 동숭길 113 3F,닭 / 오리 요리,만원-2만원,1,
110,이레미,서울특별시 종로구 명륜4가 109 2F,기타 한식,만원-2만원,2,
111,재팔이네 닭발,서울특별시 종로구 대학로11길 38-18 2F,닭 / 오리 요리,만원-2만원,1,
112,또오리,서울특별시 종로구 성균관로 6-4,닭 / 오리 요리,만원-2만원,1,
113,쭈꾸미부대찌개,서울특별시 종로구 대학로12길 53,해산물 요리,만원-2만원,3,
114,돈탐라제주,서울특별시 종로구 창경궁로34길 18-5,고기 요리,만원-2만원,1,
115,동숭숯불갈비,서울특별시 종로구 대학로9길 26,고기 요리,만원-2만원,1,
116,오이지,서울특별시 종로구 대학로9길 33,퓨전 한식,만원-2만원,4,
117,육회한연어,서울특별시 종로구 창경궁로 246-6,고기 요리,만원-2만원,2,
118,등촌샤브칼국수,서울특별시 종로구 대학로8가길 111,탕 / 찌개 / 전골,만원-2만원,2,
119,한신포차,서울특별시 종로구 대학로12길 13 1F,닭 / 오리 요리,만원-2만원,1,
120,연건삼계탕,서울특별시 종로구 대학로5가길 11,탕 / 찌개 / 전골,만원-2만원,2,
121,쭈왕쭈꾸미,서울특별시 종로구 대명길 19-6,해산물 요리,만원-2만원,2,
122,하남돼지집,서울특별시 종로구 대학로8가길 52,고기 요리,만원-2만원,2,
123,옛날농장,서울특별시 종로구 대학로11길 44,고기 요리,만원-2만원,2,
124,마미청국장,서울특별시 종로구 동숭4나길 2,탕 / 찌개 / 전골,만원-2만원,1,
125,통큰갈비,서울특별시 종로구 창경궁로 258-12 1F,고기 요리,만원-2만원,1,
126,동두천부대찌개,서울특별시 종로구 성균관로 15-8,탕 / 찌개 / 전골,만원-2만원,3,
127,오븐에빠진닭,서울특별시 종로구 대명1길 8,닭 / 오리 요리,만원-2만원,1,
128,본죽,서울특별시 종로구 대학로7길 3,기타 한식,만원-2만원,2,
129,현수네닭발,서울특별시 종로구 성균관로 37,닭 / 오리 요리,만원-2만원,1,
130,품밥집술집,서울특별시 종로구 명륜길 33-4,한정식 / 백반 / 정통 한식,만원-2만원,3,
131,곰돌이곱창,서울특별시 종로구 성균관로 41,고기 요리,만원-2만원,3,
132,BHC치킨,서울특별시 종로구 대학로12길 13,닭 / 오리 요리,만원-2만원,1,
133,남대문황금족발,서울특별시 종로구 대학로14길 6,고기 요리,만원-2만원,1,
134,홍가네황토보쌈황토청국장,서울특별시 종로구 대명길 42,고기 요리,만원-2만원,1,
135,행운삼겹살,서울특별시 종로구 대학로14길 18-3,고기 요리,만원-2만원,1,
136,유자유김치떡볶이,서울특별시 종로구 대명길 37 2F,기타 한식,만원-2만원,2,
137,692대구막창,서울특별시 종로구 창경궁로29길 25,닭 / 오리 요리,만원-2만원,1,
138,후암동숯불닭갈비,서울특별시 종로구 동숭길 86,닭 / 오리 요리,만원-2만원,1,
139,토영자갈치곰장어,서울특별시 종로구 대학로11길 38-3,해산물 요리,만원-2만원,1,
140,대학로숯불고기,서울특별시 종로구 대학로9길 32,고기 요리,만원-2만원,1,
141,유가네닭갈비,서울특별시 종로구 대학로8가길 89,닭 / 오리 요리,만원-2만원,1,
142,이화식당,서울특별시 종로구 이화장길 36-1,고기 요리,만원-2만원,1,
143,군자대한곱창,서울특별시 종로구 대명1길 8,고기 요리,만원-2만원,1,
144,함무바라 닭도리탕,서울특별시 종로구 혜화로 11  1F,닭 / 오리 요리,만원-2만원,1,
145,육미안,서울특별시 종로구 창경궁로 246-4 1F,고기 요리,2만원-3만원,7,4.1
146,메밀향그집,서울특별시 종로구 대학로11길 18,닭 / 오리 요리,2만원-3만원,21,3.9
147,장고상회,서울특별시 종로구 대명1길 21,퓨전 한식,2만원-3만원,9,3.9
148,대성정육식당,서울특별시 종로구 대학로14길 10 1F,고기 요리,2만원-3만원,1,
149,들풀,서울특별시 종로구 대명1길 24,한정식 / 백반 / 정통 한식,2만원-3만원,4,
150,생맛싸먹,서울특별시 종로구 대명1길 13,고기 요리,2만원-3만원,1,
151,혜화수산,서울특별시 종로구 창경궁로 259 1F,해산물 요리,2만원-3만원,2,
152,뼈닥스감자탕,서울특별시 종로구 대명길 19-5 1F,탕 / 찌개 / 전골,2만원-3만원,3,
153,명륜감자탕,서울특별시 종로구 대학로11길 24,탕 / 찌개 / 전골,2만원-3만원,1,
154,천수만횟집,서울특별시 종로구 대학로 48-9,해산물 요리,2만원-3만원,1,
155,예빈시,서울특별시 종로구 동숭길 63 2F,한정식 / 백반 / 정통 한식,2만원-3만원,1,
156,투뿔소,서울특별시 종로구 대학로8가길 30 1F,고기 요리,3만원-4만원,1,
157,장위동유성집,서울특별시 종로구 율곡로 217-1,고기 요리,3만원-4만원,3,
158,꼬시,서울특별시 종로구 대학로11길 38-23,해산물 요리,3만원-4만원,1,
159,미향,서울특별시 종로구 창경궁로34길 14 2F,해산물 요리,4만원 이상,1,
160,칸다소바,서울특별시 종로구 대학로 131-1,라멘 / 소바 / 우동,만원 미만,22,3.9
161,부탄츄,서울특별시 종로구 대학로9길 23-2,라멘 / 소바 / 우동,만원 미만,50,3.7
162,히메시야,서울특별시 종로구 창경궁로26길 40,돈부리 / 일본 카레 / 벤토,만원 미만,7,3.7
163,돈텐동식당,서울특별시 종로구 동숭길 51,돈부리 / 일본 카레 / 벤토,만원 미만,14,3.6
164,멘야산다이메,서울특별시 종로구 창경궁로26길 38-2,라멘 / 소바 / 우동,만원 미만,69,3.4
165,겐로쿠우동,서울특별시 종로구 대학로 129-9,라멘 / 소바 / 우동,만원 미만,20,3.1
166,돈천동식당,서울특별시 종로구 창경궁로34길 15,정통 일식 / 일반 일식,만원 미만,9,
167,다다미,서울특별시 종로구 대학로9길 22 대학빌딩,라멘 / 소바 / 우동,만원 미만,2,
168,교자익스프레스,서울특별시 종로구 대학로11길 38-6 2F,기타 일식,만원 미만,1,
169,째즈앤라멘,서울특별시 종로구 성균관로 25-9,라멘 / 소바 / 우동,만원 미만,6,
170,쇼타돈부리,서울특별시 종로구 명륜길 36,돈부리 / 일본 카레 / 벤토,만원 미만,3,
171,아비꼬,서울특별시 종로구 대학로12길 22 1F,돈부리 / 일본 카레 / 벤토,만원 미만,3,
172,홍대개미,서울특별시 종로구 대학로10길 20 2F,돈부리 / 일본 카레 / 벤토,만원 미만,6,
173,미가라멘,서울특별시 종로구 대학로14길 18-2,라멘 / 소바 / 우동,만원 미만,2,
174,소바의온도,서울특별시 종로구 대학로12길 43,라멘 / 소바 / 우동,만원 미만,1,
175,코코로식탁,서울특별시 종로구 창경궁로 248-4,정통 일식 / 일반 일식,만원 미만,3,
176,고씨네,서울특별시 종로구 대학로12길 63 B1,돈부리 / 일본 카레 / 벤토,만원 미만,4,
177,스타동,서울특별시 종로구 대학로5길 8 1F,돈부리 / 일본 카레 / 벤토,만원 미만,2,
178,동네식당,서울특별시 종로구 명륜길 4,라멘 / 소바 / 우동,만원 미만,1,
179,정돈,서울특별시 종로구 대학로9길 12 B1,까스 요리,만원-2만원,40,4.1
180,맛의정원,서울특별시 종로구 혜화로 47 1F,돈부리 / 일본 카레 / 벤토,만원-2만원,20,4.0
181,호호식당,서울특별시 종로구 대학로9길 35,정통 일식 / 일반 일식,만원-2만원,155,3.9
182,차니오뎅,서울특별시 종로구 창경궁로 258-13,이자카야 / 오뎅 / 꼬치,만원-2만원,7,3.9
183,우와,서울특별시 종로구 동숭길 78 2F,철판 요리,만원-2만원,11,3.8
184,도도야,서울특별시 종로구 동숭길 39,정통 일식 / 일반 일식,만원-2만원,35,3.7
185,은행골,서울특별시 종로구 창경궁로26길 38,회 / 스시,만원-2만원,32,3.4
186,토끼정,서울특별시 종로구 대학로8가길 133,정통 일식 / 일반 일식,만원-2만원,22,3.4
187,히든스시,서울특별시 종로구 대명길 27,회 / 스시,만원-2만원,16,3.4
188,현초밥,서울특별시 종로구 대학로11길 39 여엉빌딩 1F,회 / 스시,만원-2만원,65,3.3
189,미도인,서울특별시 종로구 대학로9길 32 1F,정통 일식 / 일반 일식,만원-2만원,7,3.1
190,돈돈,서울특별시 종로구 대학로11길 46,정통 일식 / 일반 일식,만원-2만원,22,3.0
191,오후정,서울특별시 종로구 대학로8길 25 2F,정통 일식 / 일반 일식,만원-2만원,10,
192,남자주방,서울특별시 종로구 성균관로1길 5,이자카야 / 오뎅 / 꼬치,만원-2만원,2,
193,스시마시따,서울특별시 종로구 대명길 24 성진빌딩 2F,회 / 스시,만원-2만원,5,
194,긴자료코,서울특별시 종로구 동숭길 64 1F,까스 요리,만원-2만원,3,
195,이자카야진,서울특별시 종로구 대학로11길 38-10 1F,이자카야 / 오뎅 / 꼬치,만원-2만원,1,
196,오센,서울특별시 종로구 성균관로 4-5,이자카야 / 오뎅 / 꼬치,만원-2만원,5,
197,스시사소우,서울특별시 종로구 대명길 45,정통 일식 / 일반 일식,만원-2만원,3,
198,키햐아,서울특별시 종로구 창경궁로34길 18-4 2F,정통 일식 / 일반 일식,만원-2만원,5,
199,기꾸스시,서울특별시 종로구 성균관로 2,회 / 스시,만원-2만원,4,
200,오레노카츠,서울특별시 종로구 대학로 128 1F,까스 요리,만원-2만원,1,
201,교토스시,서울특별시 종로구 동숭길 43,회 / 스시,만원-2만원,1,
202,고쿠텐,서울특별시 종로구 대학로11길 34,돈부리 / 일본 카레 / 벤토,만원-2만원,3,
203,한돌참치,서울특별시 종로구 대학로 153,회 / 스시,만원-2만원,1,
204,코코이찌방야,서울특별시 종로구 동숭길 136,돈부리 / 일본 카레 / 벤토,만원-2만원,1,
205,고이와,서울특별시 종로구 창경궁로16길 73-4,퓨전 일식,만원-2만원,1,
206,하리보초밥,서울특별시 종로구 이화장1길 3,회 / 스시,만원-2만원,1,
207,코로로식당,서울특별시 종로구 동숭길 136 4F,퓨전 일식,만원-2만원,1,
208,대규스시,서울특별시 종로구 동숭3길 1,회 / 스시,2만원-3만원,11,4.0
209,이마쇼쿠,서울특별시 종로구 대명길 39-9 1F,회 / 스시,2만원-3만원,15,3.7
210,태수,서울특별시 종로구 동숭길 78,이자카야 / 오뎅 / 꼬치,2만원-3만원,2,
211,센꼬치,서울특별시 종로구 창경궁로 249,이자카야 / 오뎅 / 꼬치,2만원-3만원,7,
212,고엔,서울특별시 종로구 창경궁로 255 1F,이자카야 / 오뎅 / 꼬치,2만원-3만원,1,
213,곤조,서울특별시 종로구 대명1길 7 대눅빌딩,이자카야 / 오뎅 / 꼬치,2만원-3만원,2,
214,비스트로솟대,서울특별시 종로구 동숭2길 5,기타 일식,3만원-4만원,1,
215,바오쯔,서울특별시 종로구 창경궁로35길 11,딤섬 / 만두,만원 미만,15,3.9
216,갸우뚱,서울특별시 종로구 대학로9길 25,정통 중식 / 일반 중식,만원 미만,9,3.9
217,탕화쿵푸마라탕,서울특별시 종로구 창경궁로 258-15 2F,기타 중식,만원 미만,6,3.2
218,홍콩반점0410,서울특별시 종로구 대학로10길 16,정통 중식 / 일반 중식,만원 미만,9,2.8
219,진아춘,서울특별시 종로구 대명1길 18,정통 중식 / 일반 중식,만원 미만,6,
220,가부,서울특별시 종로구 혜화로 26-1 1F,정통 중식 / 일반 중식,만원 미만,5,
221,지엔,서울특별시 종로구 율곡로 218,정통 중식 / 일반 중식,만원 미만,2,
222,전설의짬뽕,서울특별시 종로구 대학로11길 48 1F,정통 중식 / 일반 중식,만원 미만,3,
223,라매자마라탕,서울특별시 종로구 성균관로 15-2,기타 중식,만원 미만,2,
224,진공푸,서울특별시 종로구 성균관로 43 1F,정통 중식 / 일반 중식,만원 미만,2,
225,신장군마라탕,서울특별시 종로구 성균관로 26,기타 중식,만원 미만,2,
226,짬뽕한대,서울특별시 종로구 율곡로 231-1,정통 중식 / 일반 중식,만원 미만,2,
227,후룩뽕,서울특별시 종로구 성균관로 26-5 B1,정통 중식 / 일반 중식,만원 미만,1,
228,혜화양육관,서울특별시 종로구 대명1길 23,기타 중식,만원-2만원,38,4.0
229,천향록,서울특별시 종로구 성균관로 12,정통 중식 / 일반 중식,만원-2만원,22,3.8
230,훠궈나라,서울특별시 종로구 창경궁로 242 2F,기타 중식,만원-2만원,3,
231,복만루훠궈,서울특별시 종로구 성균관로 1 2F,기타 중식,만원-2만원,4,
232,금문,서울특별시 종로구 창경궁로 269-1 1F,정통 중식 / 일반 중식,만원-2만원,2,
233,중차이,서울특별시 종로구 대학로7길 7 1F,정통 중식 / 일반 중식,만원-2만원,3,
234,자미더홍,서울특별시 종로구 동숭길 129,기타 중식,만원-2만원,2,
