,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
61,김삼보김치찌개,서울특별시 서대문구 명물길 62,탕 / 찌개 / 전골,만원 미만,4,
62,맛있는식사,서울특별시 서대문구 이화여대3길 12-6 B1,한정식 / 백반 / 정통 한식,만원 미만,8,
63,청년다방,서울특별시 서대문구 신촌로 139,기타 한식,만원 미만,9,
64,한솔냉면,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 B1,국수 / 면 요리,만원 미만,6,
65,개미집,서울특별시 서대문구 연세로11길 15 1F,해산물 요리,만원 미만,4,
66,백암순대국,서울특별시 서대문구 연세로11길 13,탕 / 찌개 / 전골,만원 미만,7,
67,훼드라,서울특별시 서대문구 연세로5길 32,한정식 / 백반 / 정통 한식,만원 미만,4,
68,신촌설렁탕,서울특별시 서대문구 연세로2길 9,탕 / 찌개 / 전골,만원 미만,1,
69,신촌잔치국수,서울특별시 서대문구 연세로 1,국수 / 면 요리,만원 미만,1,
70,콩불,서울특별시 서대문구 연세로 35,고기 요리,만원 미만,1,
71,호남기사식당,서울특별시 서대문구 북아현로 70,한정식 / 백반 / 정통 한식,만원 미만,1,
72,누들김밥,서울특별시 서대문구 이화여대8길 2,기타 한식,만원 미만,8,
73,장군닭갈비,서울특별시 서대문구 연세로9길 7 2F,닭 / 오리 요리,만원 미만,10,
74,어머니가구워주신생선구이,서울특별시 서대문구 명물길 42,한정식 / 백반 / 정통 한식,만원 미만,3,
75,놀부부대찌개&철판구이,서울특별시 서대문구 연세로 23,탕 / 찌개 / 전골,만원 미만,3,
76,닭발먹은새우,서울특별시 서대문구 연세로5가길 8-3,닭 / 오리 요리,만원 미만,4,
77,바지락수제비칼국수,서울특별시 서대문구 신촌로 87-20,국수 / 면 요리,만원 미만,2,
78,원조감자탕,서울특별시 서대문구 연세로5다길 8,탕 / 찌개 / 전골,만원 미만,3,
79,니뽕내뽕,서울특별시 서대문구 명물길 26 1F,퓨전 한식,만원 미만,7,
80,장군삼겹살,서울특별시 서대문구 연세로9길 22,고기 요리,만원 미만,1,
81,착한순우리,서울특별시 마포구 숭문길 216,한정식 / 백반 / 정통 한식,만원 미만,2,
82,미정국수0410,서울특별시 서대문구 연세로7안길 2 1F,국수 / 면 요리,만원 미만,13,
83,고향,서울특별시 서대문구 연세로7안길 52,고기 요리,만원 미만,7,
84,테라스,서울특별시 서대문구 북아현로 2,기타 한식,만원 미만,5,
85,논지당,서울특별시 서대문구 연세로 42-22,한정식 / 백반 / 정통 한식,만원 미만,9,
86,신참떡볶이,서울특별시 서대문구 이화여대7길 15,기타 한식,만원 미만,4,
87,아리랑컵밥,서울특별시 서대문구 이화여대길 33 B2,기타 한식,만원 미만,7,
88,아웃닭,서울특별시 서대문구 이화여대5길 16,닭 / 오리 요리,만원 미만,8,
89,남도분식,서울특별시 서대문구 신촌로 83,기타 한식,만원 미만,5,
90,모돌이순대국,서울특별시 서대문구 북아현로2안길 8,탕 / 찌개 / 전골,만원 미만,3,
91,미스터빠삭,서울특별시 마포구 백범로 17 1F,퓨전 한식,만원 미만,5,
92,옛집,서울특별시 마포구 신촌로10길 8,탕 / 찌개 / 전골,만원 미만,6,
93,이화안동찜닭,서울특별시 서대문구 이화여대길 43 B1,닭 / 오리 요리,만원 미만,5,
94,수라,서울특별시 서대문구 이화여대2가길 20,한정식 / 백반 / 정통 한식,만원 미만,4,
95,산타비,서울특별시 서대문구 이화여대7길 10,기타 한식,만원 미만,4,
96,동네아저씨,서울특별시 서대문구 연세로7길 27,닭 / 오리 요리,만원 미만,6,
97,육판,서울특별시 서대문구 연세로7길 25 1F,고기 요리,만원 미만,2,
98,중독,서울특별시 서대문구 이화여대길 88-14,기타 한식,만원 미만,4,
99,더연세김치찌개,서울특별시 서대문구 연세로9길 22,탕 / 찌개 / 전골,만원 미만,4,
100,육쌈냉면,서울특별시 서대문구 연세로 19 B1,국수 / 면 요리,만원 미만,3,
101,윤오므라이스,서울특별시 서대문구 연세로7안길 34-4,퓨전 한식,만원 미만,5,
102,로봇김밥,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 B1,기타 한식,만원 미만,3,
103,별당김치찜,서울특별시 서대문구 명물1길 2,한정식 / 백반 / 정통 한식,만원 미만,3,
104,부성감자탕,서울특별시 마포구 대흥로28길 3,탕 / 찌개 / 전골,만원 미만,2,
105,큰맘할매순대국,서울특별시 마포구 대흥로 84,탕 / 찌개 / 전골,만원 미만,1,
106,참이맛감자탕,서울특별시 서대문구 명물길 45-4,탕 / 찌개 / 전골,만원 미만,2,
107,두부의추억151,서울특별시 서대문구 이화여대길 67 2F,한정식 / 백반 / 정통 한식,만원 미만,5,
108,김폴폴,서울특별시 서대문구 이화여대길 52 이화여자대학교 국제교육관,한정식 / 백반 / 정통 한식,만원 미만,3,
109,남도벌교음식점,서울특별시 서대문구 신촌역로 16 신촌가이아,한정식 / 백반 / 정통 한식,만원 미만,3,
110,지지고,서울특별시 서대문구 이화여대길 64,기타 한식,만원 미만,3,
111,김가네김밥,서울특별시 서대문구 연세로 35,기타 한식,만원 미만,1,
112,효자동닭꼬치,서울특별시 서대문구 연세로 4,기타 한식,만원 미만,2,
113,신의주전통찹쌀순대,서울특별시 서대문구 명물길 12-6,탕 / 찌개 / 전골,만원 미만,2,
114,존재의이유,서울특별시 서대문구 성산로 569,한정식 / 백반 / 정통 한식,만원 미만,4,
115,틈새라면,서울특별시 서대문구 연세로4길 6,기타 한식,만원 미만,2,
116,닭꼬치야,서울특별시 서대문구 신촌로11길 12,기타 한식,만원 미만,3,
117,신촌부대찌개,서울특별시 서대문구 신촌로 91,탕 / 찌개 / 전골,만원 미만,4,
118,팔색콩불,서울특별시 서대문구 신촌로 149 신촌자이엘라,고기 요리,만원 미만,3,
119,사장님돈까스,서울특별시 서대문구 이화여대7길 11 1F,기타 한식,만원 미만,3,
