,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
66,엘리펀트,서울특별시 광진구 동일로 76,카페 / 디저트,만원 미만,3,
67,스위트레코드,서울특별시 광진구 아차산로21길 77,카페 / 디저트,만원 미만,2,
68,메리앤마스,서울특별시 광진구 자양로32길 42  1F,카페 / 디저트,만원 미만,2,
69,로프커피,서울특별시 광진구 동일로 304,카페 / 디저트,만원 미만,1,
70,그자체베이커리카페,서울특별시 광진구 능동로13길 65 2F,베이커리,만원 미만,5,
71,레스트인무드,서울특별시 광진구 천호대로134길 31 1F,카페 / 디저트,만원 미만,4,
72,인투더크림,서울특별시 광진구 구의강변로 96 현대아파트6단지 상가 1F,카페 / 디저트,만원 미만,1,
73,오페떼,서울특별시 광진구 능동로 111,카페 / 디저트,만원 미만,8,
74,테이큰커피,서울특별시 광진구 능동로16길 51,카페 / 디저트,만원 미만,6,
75,원위크,서울특별시 광진구 아차산로73길 23 1F,베이커리,만원 미만,2,
76,봄희커피,서울특별시 광진구 면목로16길 4 1F,카페 / 디저트,만원 미만,3,
77,WWW,서울특별시 광진구 긴고랑로20길 51,카페 / 디저트,만원 미만,4,
78,우즈오븐,서울특별시 광진구 뚝섬로36길 63,베이커리,만원 미만,1,
79,카페눈,서울특별시 광진구 아차산로70길 17-17 ,카페 / 디저트,만원 미만,2,
80,컬렉팅더모먼츠,서울특별시 광진구 뚝섬로52라길 56-1,카페 / 디저트,만원 미만,3,
81,필라멘트,서울특별시 광진구 동일로22길 117-17,카페 / 디저트,만원 미만,3,
82,Ffanci,서울특별시 광진구 동일로 411,카페 / 디저트,만원 미만,3,
83,릴리베이커리,서울특별시 광진구 능동로13길 21,베이커리,만원 미만,3,
84,카페온더플랜,서울특별시 광진구 능동로 161,카페 / 디저트,만원 미만,6,
85,주민커피,서울특별시 광진구 자양로13길 27,카페 / 디저트,만원 미만,2,
86,더이퀼리브리엄커피,서울특별시 광진구 아차산로30길 7,카페 / 디저트,만원 미만,3,
87,카페구공,서울특별시 광진구 천호대로127길 24,카페 / 디저트,만원 미만,2,
88,밀도,서울특별시 광진구 광나루로 619,베이커리,만원 미만,2,
89,헤르츠커피로스팅,서울특별시 광진구 능동로 334,카페 / 디저트,만원 미만,5,
90,골든라이언,서울특별시 광진구 능동로13길 74,카페 / 디저트,만원 미만,3,
91,리에주커피,서울특별시 광진구 군자로 162 1F,카페 / 디저트,만원 미만,1,
92,프롬커피로스터스,서울특별시 광진구 능동로13길 81,카페 / 디저트,만원 미만,1,
93,옥루몽,서울특별시 광진구 능동로 183,카페 / 디저트,만원 미만,3,
94,인택트커피,서울특별시 광진구 천호대로111길 28 1F,카페 / 디저트,만원 미만,2,
95,자양제일커피,서울특별시 광진구 아차산로39길 29,카페 / 디저트,만원 미만,2,
96,커피홍당무,서울특별시 광진구 긴고랑로31길 5,카페 / 디저트,만원 미만,2,
97,지니카페,서울특별시 광진구 자양로37길 12 1F,카페 / 디저트,만원 미만,2,
98,라보리,서울특별시 광진구 동일로 26,카페 / 디저트,만원 미만,1,
99,슬로우토크,서울특별시 광진구 자양로39길 19,카페 / 디저트,만원 미만,1,
100,오프더레코드,서울특별시 광진구 광나루로26길 27,카페 / 디저트,만원 미만,5,
101,모츠커피,서울특별시 광진구 군자로3길 14 1F,카페 / 디저트,만원 미만,3,
102,차안유색,서울특별시 광진구 능동로16길 50,카페 / 디저트,만원 미만,2,
103,설빙,서울특별시 광진구 아차산로 230,카페 / 디저트,만원 미만,4,
104,하비 카페,서울특별시 광진구 아차산로36길 5 1F,카페 / 디저트,만원 미만,5,
105,커피트레인,서울특별시 광진구 자양로13가길 2,카페 / 디저트,만원 미만,2,
106,책방열음,서울특별시 광진구 광장로 59-1 1F,카페 / 디저트,만원 미만,3,
107,포레드뵈르,서울특별시 광진구 능동로3라길 4,카페 / 디저트,만원 미만,3,
108,Slof,서울특별시 광진구 능동로43길 12 1F,카페 / 디저트,만원 미만,2,
109,카페쉘위토크,서울특별시 광진구 군자로 162,카페 / 디저트,만원 미만,2,
110,파드,서울특별시 광진구 뚝섬로22가길 60,카페 / 디저트,만원 미만,2,
111,쁘띠비해피,서울특별시 광진구 광나루로54길 23 강변아파트,베이커리,만원 미만,1,
112,요미스라이스요거트,서울특별시 광진구 능동로 133-1,카페 / 디저트,만원 미만,1,
113,뺑드미,서울특별시 광진구 영화사로 45,베이커리,만원 미만,5,
114,597카페,서울특별시 광진구 동일로22길 117-19,카페 / 디저트,만원 미만,4,
115,알렉산더플라츠,서울특별시 광진구 군자로 5 1F,카페 / 디저트,만원 미만,2,
116,푸쉬커피,서울특별시 광진구 자양로 45길 24-3 최우측위치,카페 / 디저트,만원 미만,3,
117,상떼,서울특별시 광진구 면목로 132-1,베이커리,만원 미만,2,
118,8빵,서울특별시 광진구 능동로32길 51 1F,베이커리,만원 미만,2,
119,테라코타,서울특별시 광진구 능동로 169  1F,카페 / 디저트,만원 미만,2,
120,제니앤디쿠키,서울특별시 광진구 광장로 71,카페 / 디저트,만원 미만,1,
121,무궁화,서울특별시 광진구 동일로20길 8,카페 / 디저트,만원 미만,1,
122,카페레가토,서울특별시 광진구 능동로13길 115,카페 / 디저트,만원 미만,1,
123,로쿠커피,서울특별시 광진구 군자로15길 14 1F,카페 / 디저트,만원 미만,3,
124,트리안,서울특별시 광진구 아차산로29길 8 1F 104호,카페 / 디저트,만원 미만,3,
125,카페 새온,서울특별시 광진구 뚝섬로 552 삼희빌딩 1F,카페 / 디저트,만원 미만,3,
126,슬로우브레드 오고,서울특별시 광진구 자양로26길 95 1F 102호,베이커리,만원 미만,2,
127,무무요거트,서울특별시 광진구 자양로19길 74 ,카페 / 디저트,만원 미만,2,
128,브레드팩토리빵야,서울특별시 광진구 뚝섬로56길 38-1,베이커리,만원 미만,1,
129,히읗히읗,서울특별시 광진구 군자로10길 14-15 1F,카페 / 디저트,만원 미만,1,
130,백합베이커리,서울특별시 광진구 천호대로 576 1F,베이커리,만원 미만,4,
131,옐로우페탈 커피,서울특별시 광진구 동일로28길 9,카페 / 디저트,만원 미만,3,
132,케익하우스엠마,서울특별시 광진구 구의강변로 102,베이커리,만원 미만,3,
133,화양과자,서울특별시 광진구 동일로26길 62 1F,카페 / 디저트,만원 미만,4,
