,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
354,앨리스토리,서울특별시 서초구 강남대로8길 39-15 ,카페 / 디저트,만원 미만,1,
355,바웃커피,서울특별시 서초구 바우뫼로6길 22 1F,카페 / 디저트,만원 미만,2,
356,백록담,서울특별시 서초구 바우뫼로 101 경인프라자 1F,카페 / 디저트,만원 미만,1,
357,에스프레사멘테일리,서울특별시 서초구 청계산로9길 1-7 오라카이 청계산호텔 1F,카페 / 디저트,만원 미만,1,
358,도킹,서울특별시 서초구 동산로19길 54,카페 / 디저트,만원 미만,2,
359,온기경,서울특별시 서초구 동산로 77 102호,카페 / 디저트,만원 미만,2,
360,라자커피,서울특별시 서초구 마방로6길 8-19 한림빌딩,카페 / 디저트,만원 미만,1,
361,레드닷커피,서울특별시 서초구 논현로31길 64 ,카페 / 디저트,만원 미만,1,
362,파스쿠찌,서울특별시 서초구 남부순환로 2620 강남피타워,카페 / 디저트,만원 미만,1,
363,써티커피,서울특별시 서초구 강남대로18길 24-14,카페 / 디저트,만원 미만,1,
364,신일룡의 호두파이,서울특별시 서초구 원터6길 4,카페 / 디저트,만원 미만,1,
365,메고지고,서울특별시 서초구 동산로2길 13,카페 / 디저트,만원 미만,1,
366,커피블루스,서울특별시 서초구 양재대로2길 100-61 1F,카페 / 디저트,만원 미만,1,
367,인사이터스 코랩,서울특별시 서초구 남부순환로358길 52,카페 / 디저트,만원 미만,1,
368,호키포키,서울특별시 서초구 논현로 41 1F,카페 / 디저트,만원 미만,1,
369,연시루,서울특별시 서초구 강남대로30길 21-3,카페 / 디저트,만원 미만,2,
370,스타벅스,서울특별시 서초구 청계산로 203,카페 / 디저트,만원 미만,1,
371,커피볶는영다방,서울특별시 서초구 강남대로30길 68,카페 / 디저트,만원 미만,1,
372,스미스바니,서울특별시 서초구 마방로 20,카페 / 디저트,만원 미만,1,
373,스타벅스,서울특별시 서초구 매헌로 16 하이브랜드,카페 / 디저트,만원 미만,1,
374,마이쥬스,서울특별시 서초구 바우뫼로37길 56 건영빌딩,카페 / 디저트,만원 미만,1,
375,한스펌킨,서울특별시 서초구 양재천로 97,카페 / 디저트,만원 미만,1,
376,커스텀커피,서울특별시 서초구 성촌1길 12,카페 / 디저트,만원 미만,1,
377,티파니플라워,서울특별시 서초구 양재천로 135-10,카페 / 디저트,만원 미만,1,
378,바나프레소,서울특별시 서초구 강남대로 221,카페 / 디저트,만원 미만,1,
379,퀸즈브라운,서울특별시 서초구 마방로2길 82,카페 / 디저트,만원 미만,1,
380,헤일리스 커피,서울특별시 서초구 마방로10길 15 트윈타워 105호,카페 / 디저트,만원 미만,1,
381,아주느린빵,서울특별시 서초구 바우뫼로 158,베이커리,만원 미만,1,
382,로스트라커피,서울특별시 서초구 강남대로 220,카페 / 디저트,만원 미만,1,
383,커피핑크,서울특별시 서초구 언남길 87 1F,카페 / 디저트,만원 미만,1,
384,공차,서울특별시 서초구 남부순환로 2614 한솔로이젠트,카페 / 디저트,만원 미만,1,
385,스타벅스,서울특별시 서초구 강남대로 202,카페 / 디저트,만원 미만,1,
386,할리스,서울특별시 서초구 강남대로 210,카페 / 디저트,만원 미만,1,
387,스타벅스,서울특별시 서초구 논현로 139 대흥빌딩,카페 / 디저트,만원 미만,1,
388,밀브레드,서울특별시 서초구 청계산로 195 내곡프라임시티,베이커리,만원 미만,2,
389,발아정신,서울특별시 서초구 남부순환로356길 18-3 2F,카페 / 디저트,만원 미만,1,
390,Plan B,서울특별시 서초구 남부순환로350길 19-26 도담빌딩,치킨 / 호프 / 펍,만원 미만,2,
391,레니엘피바,서울특별시 서초구 논현로 117 소정빌딩 2F,칵테일 / 와인,만원 미만,1,
392,오늘와인한잔,서울특별시 서초구 남부순환로356길 39,칵테일 / 와인,만원 미만,2,
393,타임,서울특별시 서초구 강남대로8길 23-1  리스하우스,일반 주점,만원 미만,1,
394,박고볼래,서울특별시 서초구 강남대로30길 12,전통 주점 / 포차,만원-2만원,18,3.7
395,포이집,서울특별시 서초구 논현로17길 22 103호,칵테일 / 와인,만원-2만원,3,
396,동물원,서울특별시 서초구 언남17길 18,일반 주점,만원-2만원,3,
397,그집,서울특별시 서초구 강남대로34길 46 서진빌딩,치킨 / 호프 / 펍,만원-2만원,6,
398,오늘와인한잔,서울특별시 서초구 마방로 10 금계빌딩 1F,칵테일 / 와인,만원-2만원,4,
399,뮌헨호프,서울특별시 서초구 남부순환로350길 12,치킨 / 호프 / 펍,만원-2만원,1,
400,크롬바커 비스트로,서울특별시 서초구 강남대로 48-3,치킨 / 호프 / 펍,만원-2만원,1,
401,Portable Loft,서울특별시 서초구 마방로4길 15-48,치킨 / 호프 / 펍,만원-2만원,2,
402,진여사댁,서울특별시 서초구 강남대로34길 38 2F,일반 주점,만원-2만원,1,
403,비어랩협동조합,서울특별시 서초구 바우뫼로 211 송지빌딩 B1,치킨 / 호프 / 펍,만원-2만원,1,
404,아르코,서울특별시 서초구 매헌로 27 명연빌딩 1F,치킨 / 호프 / 펍,만원-2만원,1,
405,볼로디노테,서울특별시 서초구 마방로 48,칵테일 / 와인,만원-2만원,2,
406,새우닭,서울특별시 서초구 남부순환로356길 52 1F,전통 주점 / 포차,만원-2만원,2,
407,생활맥주,서울특별시 서초구 남부순환로356길 42,치킨 / 호프 / 펍,만원-2만원,1,
