,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
59,담미온,서울특별시 강남구 선릉로112길 18,탕 / 찌개 / 전골,만원 미만,2,
60,오마뎅,서울특별시 강남구 선릉로130길 56,기타 한식,만원 미만,2,
61,김명자굴국밥,서울특별시 강남구 삼성로96길 9 대린빌딩,탕 / 찌개 / 전골,만원 미만,1,
62,인싸동냉면,서울특별시 강남구 봉은사로 480,국수 / 면 요리,만원 미만,1,
63,다옴,서울특별시 강남구 봉은사로 409,기타 한식,만원 미만,2,
64,전주비빔밥,서울특별시 강남구 테헤란로87길 22 코엑스몰 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
65,제주부엌,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 B1,국수 / 면 요리,만원 미만,1,
66,대가식당,서울특별시 강남구 선릉로92길 42,한정식 / 백반 / 정통 한식,만원 미만,1,
67,이태리부대찌개,서울특별시 강남구 봉은사로112길 6 1F,탕 / 찌개 / 전골,만원 미만,1,
68,얌샘김밥,서울특별시 강남구 테헤란로87길 17 1F,기타 한식,만원 미만,1,
69,명가분식,서울특별시 강남구 테헤란로87길 22 코엑스몰 B1,기타 한식,만원 미만,2,
70,다미분식,서울특별시 강남구 선릉로126길 16,기타 한식,만원 미만,1,
71,건강밥상,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
72,삼성칼국수,서울특별시 강남구 봉은사로108길 5,국수 / 면 요리,만원 미만,1,
73,달크랩,서울특별시 강남구 테헤란로 517 ,해산물 요리,만원 미만,1,
74,쏭스클럽,서울특별시 강남구 봉은사로63길 6 1F,기타 한식,만원 미만,1,
75,빨강떡볶이,서울특별시 강남구 봉은사로67길 30 1F 101호,기타 한식,만원 미만,2,
76,마마리마켓,서울특별시 강남구 선릉로130길 5,기타 한식,만원 미만,1,
77,북창동순두부,서울특별시 강남구 학동로56길 26 2F,탕 / 찌개 / 전골,만원 미만,1,
78,길목,서울특별시 강남구 영동대로129길 10,고기 요리,만원-2만원,111,4.6
79,봉밀가,서울특별시 강남구 선릉로 664,국수 / 면 요리,만원-2만원,104,4.4
80,외고집설렁탕,서울특별시 강남구 선릉로64길 15 알앤텍빌딩 1F,탕 / 찌개 / 전골,만원-2만원,95,4.4
81,능라도,서울특별시 강남구 삼성로 534 1F,국수 / 면 요리,만원-2만원,117,4.3
82,하동관,서울특별시 강남구 영동대로 513 코엑스몰 B1 J101호 ,탕 / 찌개 / 전골,만원-2만원,137,4.3
