,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
63,오늘손칼국수앤찜,서울특별시 노원구 동일로192길 5,국수 / 면 요리,만원 미만,2,
64,고소미부엌,서울특별시 노원구 동일로 986 101동 108호,기타 한식,만원 미만,2,
65,보승회관,서울특별시 노원구 상계로 75,탕 / 찌개 / 전골,만원 미만,3,
66,황태칼국수왕돈까스,서울특별시 노원구 공릉로 208,국수 / 면 요리,만원 미만,1,
67,돌깨마을맷돌순두부,서울특별시 노원구 동일로 1350,탕 / 찌개 / 전골,만원 미만,1,
68,황둔부대찌개,서울특별시 노원구 동일로 1345 인천빌딩,탕 / 찌개 / 전골,만원 미만,1,
69,누나홀닭,서울특별시 노원구 동일로218길 29,닭 / 오리 요리,만원 미만,1,
70,꽁당보리밥,서울특별시 노원구 석계로9길 43,한정식 / 백반 / 정통 한식,만원 미만,1,
71,전주식당,서울특별시 노원구 동일로217가길 11,한정식 / 백반 / 정통 한식,만원 미만,1,
72,고배우의깜장떡볶이,서울특별시 노원구 공릉로 221,기타 한식,만원 미만,4,
73,더진국,서울특별시 노원구 공릉로 211,탕 / 찌개 / 전골,만원 미만,2,
74,밀겨울,서울특별시 노원구 상계로3길 9,국수 / 면 요리,만원 미만,3,
75,오빠생각,서울특별시 노원구 화랑로 337-8 석계역 1번출구,기타 한식,만원 미만,3,
76,화랑대곱창,서울특별시 노원구 노원로1길 21,고기 요리,만원 미만,2,
77,에그몬,서울특별시 노원구 마들로3길 17 이마트월계점,기타 한식,만원 미만,2,
78,끝집,서울특별시 노원구 석계로18길 23,국수 / 면 요리,만원 미만,1,
79,서봉돈까스,서울특별시 노원구 노해로 495 202호,기타 한식,만원 미만,2,
80,부안영순씨식당,서울특별시 노원구 상계로1길 62-47,한정식 / 백반 / 정통 한식,만원 미만,1,
81,예촌손수제비,서울특별시 노원구 동일로 1096 1F,국수 / 면 요리,만원 미만,1,
82,맘스밥스,서울특별시 노원구 동일로173가길 72,탕 / 찌개 / 전골,만원 미만,1,
83,응급실국물떡볶이,서울특별시 노원구 공릉로 231 1F,기타 한식,만원 미만,1,
84,신사동덮밥,서울특별시 노원구 노해로 455 B1 5호,퓨전 한식,만원 미만,1,
85,영스넥,서울특별시 노원구 상계로 51 노원프라자빌딩 B1,기타 한식,만원 미만,2,
86,육쌈냉면,서울특별시 노원구 상계로3길 9 성광빌딩,국수 / 면 요리,만원 미만,3,
87,퀴헨,서울특별시 노원구 공릉로58길 120,기타 한식,만원 미만,2,
88,돌깨마을맷돌순두부,서울특별시 노원구 노해로81길 12-4,탕 / 찌개 / 전골,만원 미만,2,
89,소문난순대국,서울특별시 노원구 공릉로58길 87,탕 / 찌개 / 전골,만원 미만,2,
90,일품정,서울특별시 노원구 한글비석로 424-1 정일빌딩,탕 / 찌개 / 전골,만원 미만,1,
91,수연멸치국수,서울특별시 노원구 노원로 3,국수 / 면 요리,만원 미만,1,
92,통즉석떡볶이,서울특별시 노원구 노원로 483-10,기타 한식,만원 미만,1,
93,이삭토스트,서울특별시 노원구 석계로3길 21 1F,기타 한식,만원 미만,1,
94,도나도나,서울특별시 노원구 동일로 1393 일신프라자,고기 요리,만원 미만,1,
95,토박이토종순대국,서울특별시 노원구 초안산로2라길 26 월계센트럴아이파크,탕 / 찌개 / 전골,만원 미만,1,
96,김밥윤결,서울특별시 노원구 동일로 1095,기타 한식,만원 미만,1,
97,대경토종순대국,서울특별시 노원구 한글비석로24길 36,탕 / 찌개 / 전골,만원 미만,1,
98,후문식당,서울특별시 노원구 석계로13길 25-1 가든빌딩,한정식 / 백반 / 정통 한식,만원 미만,1,
