,group_21,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_64,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_93,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
11,49,4,11,12,6,3,1,0,0,0,3,0,1,29,4,1,2,6,6,1,0,11,4,0,1,3,3,16,3,3,4,1,0,3,69,4,11,7,14,9,24,1,11,1,2,0,1,9,10,1,4,13,23,0,10,6,1,0,4,4,3,4,6,8,26,0,0,3,1,0,10,19,4,7,8,2,2,1,0,5,0,0,5,2,0,8,8,2,1,4,3,1,24,0,8,7,0,1,10,8,5,6,3,5,0,0,0,1,2,0,0,1,3,1,6,8,0,0,0,0
12,20,2,5,5,2,3,0,0,4,0,1,2,0,4,0,0,1,5,2,0,0,1,6,0,2,2,0,0,0,0,0,0,1,10,57,0,7,0,2,9,12,0,1,0,2,0,0,9,1,0,3,63,4,0,2,4,1,0,1,4,1,1,24,2,4,0,0,0,2,0,1,4,1,2,6,0,1,0,0,18,0,0,0,1,0,5,24,1,0,2,1,0,9,0,4,7,0,0,1,6,2,2,1,2,0,0,0,2,1,0,0,0,2,1,1,1,0,0,0,0
13,18,7,14,1,6,1,0,2,2,0,5,0,0,6,1,1,3,2,8,0,1,0,5,0,3,2,0,1,5,0,3,0,0,4,36,1,2,1,11,7,19,2,6,0,0,0,1,6,0,0,0,10,1,0,1,1,5,0,2,0,0,1,1,1,14,0,0,0,0,0,0,5,0,4,11,0,0,0,0,2,0,0,1,0,1,0,1,4,0,1,0,0,11,0,1,1,0,1,3,1,6,0,3,4,0,0,0,4,2,0,0,0,1,2,1,1,0,0,0,0
14,24,1,2,5,11,0,0,2,2,0,2,0,0,37,1,0,1,3,6,0,0,10,3,0,1,5,0,0,6,0,0,0,1,6,10,0,11,1,7,5,5,0,0,0,0,0,1,7,26,1,2,116,2,0,5,1,0,1,3,5,5,0,16,1,7,0,0,1,2,0,3,7,3,2,5,0,1,0,0,5,0,4,0,0,0,5,17,2,0,0,0,0,17,0,1,4,0,6,0,3,4,0,2,3,0,0,0,2,1,0,0,0,1,10,7,2,0,0,0,0
15,17,1,1,5,2,1,0,0,3,0,1,0,0,14,1,1,1,7,10,0,1,2,8,0,0,6,0,0,5,3,0,0,0,1,51,0,11,0,2,11,0,0,1,0,0,0,2,23,3,1,3,86,1,0,5,2,0,0,0,3,0,1,42,0,10,0,0,0,1,0,7,5,6,6,4,0,3,0,0,25,0,1,1,0,0,2,3,27,0,1,0,0,7,0,0,10,0,2,0,5,5,1,3,1,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0
16,7,3,0,1,2,0,0,0,0,0,0,3,0,3,0,1,0,3,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,10,0,1,0,1,1,9,0,1,0,0,0,0,6,2,1,0,3,0,0,0,0,0,0,0,3,0,0,2,1,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
17,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3,6,3,5,0,0,1,0,0,1,2,2,0,0,6,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18,9,1,7,5,5,0,0,1,6,0,2,1,0,7,1,0,0,3,0,0,0,2,1,0,0,3,0,0,1,1,0,0,0,1,19,0,3,1,2,4,7,1,1,0,0,0,0,4,5,1,0,50,0,0,1,1,0,0,1,0,1,0,1,1,9,0,0,0,0,0,1,0,0,5,5,0,0,0,0,9,0,0,1,0,0,2,4,2,0,0,0,1,2,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0
19,18,13,10,4,2,3,1,2,0,0,3,1,0,5,0,0,1,4,6,0,0,4,1,0,0,0,1,0,5,1,1,1,0,6,53,0,4,2,5,8,8,1,3,0,2,0,0,1,0,0,0,15,7,0,1,0,0,0,1,4,2,1,5,1,17,0,0,0,0,0,1,5,0,4,7,1,0,0,0,4,0,1,1,0,0,1,5,0,0,3,0,0,8,0,2,3,1,0,1,1,5,1,3,4,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0
20,12,5,1,4,7,1,0,0,2,0,1,0,0,8,1,1,1,2,4,0,1,5,2,0,0,6,0,0,1,3,0,0,0,3,20,0,2,1,5,4,3,0,0,0,0,0,1,11,4,0,0,23,0,0,2,3,2,0,3,2,1,0,7,0,1,0,0,1,2,0,4,4,2,3,5,1,1,0,0,13,0,1,2,0,0,1,13,6,0,1,3,0,59,0,2,3,0,0,0,2,4,1,1,3,0,0,0,0,0,0,1,0,7,3,1,2,0,0,0,0
21,8,4,8,3,5,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,4,5,0,1,1,1,0,3,2,1,0,0,3,10,0,3,4,5,8,8,0,2,0,2,0,0,3,2,0,2,5,2,0,0,2,1,0,0,2,0,2,1,2,12,0,0,1,1,0,0,4,0,1,3,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,1,0,2,0,0,4,0,0,0,1,3,1,1,4,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0
22,49,19,8,7,12,21,1,7,5,0,2,4,1,18,2,6,0,8,4,0,0,1,5,1,2,9,0,0,6,2,1,0,0,5,105,0,12,4,16,16,11,3,4,1,1,0,3,24,19,1,1,141,2,0,14,4,2,1,2,9,5,5,39,2,17,0,0,0,4,0,0,6,1,8,9,0,0,1,0,17,0,1,1,1,1,3,30,2,0,1,0,1,15,0,1,6,0,1,2,11,15,4,3,1,0,0,0,3,4,1,1,1,3,1,7,16,1,1,0,0
23,36,18,11,9,72,5,5,7,2,0,5,5,0,92,2,14,6,11,6,0,1,8,7,0,3,13,3,0,14,13,4,0,0,18,28,0,22,3,5,22,7,2,9,0,1,1,0,33,17,2,3,143,7,0,13,2,5,1,7,11,5,8,34,8,29,1,0,4,2,0,0,12,6,8,13,1,4,3,0,51,0,2,0,2,1,8,16,3,0,1,2,1,49,0,2,12,0,1,2,40,11,3,5,3,1,0,1,7,3,0,0,0,4,9,15,5,2,0,0,2
24,22,14,10,5,4,1,0,1,0,0,1,2,0,12,3,3,0,3,8,0,0,3,2,0,0,0,1,0,3,2,4,0,0,1,41,0,3,0,5,4,17,1,0,0,0,0,0,5,1,4,1,17,0,0,1,2,0,0,1,2,2,2,6,8,11,0,0,1,0,0,1,6,1,9,2,0,0,0,0,2,0,0,1,1,0,3,6,7,0,1,0,0,6,0,0,2,1,2,3,0,6,1,5,1,1,0,0,1,2,2,0,1,1,0,2,2,0,0,0,0
25,38,8,6,3,13,0,2,4,1,0,3,1,1,15,0,2,1,3,8,1,0,2,3,0,1,5,0,0,4,4,3,0,0,4,49,0,10,3,7,6,36,1,3,0,0,0,2,22,5,16,0,29,4,0,4,2,3,0,1,4,3,2,6,5,13,0,0,0,0,0,0,5,1,4,8,0,0,0,0,2,0,0,0,2,0,2,2,6,0,1,1,0,11,0,0,6,0,2,8,4,4,5,1,1,2,0,0,0,3,0,0,0,1,4,2,3,0,0,0,0
26,13,0,4,2,4,4,0,2,2,0,2,0,0,20,0,1,1,2,0,0,0,1,3,0,1,6,1,0,4,1,2,0,0,3,36,0,6,0,2,6,5,0,0,0,2,0,0,7,2,0,0,32,1,0,2,0,1,0,3,2,4,1,10,0,7,0,0,1,1,0,3,7,3,6,6,0,1,0,0,3,0,1,3,0,0,0,6,5,0,1,1,0,9,0,0,3,0,0,1,4,6,1,0,0,0,0,0,3,0,0,0,0,3,2,6,2,0,0,0,0
27,18,10,1,2,3,0,0,3,0,0,0,0,0,4,0,0,0,0,3,1,0,2,0,0,0,2,1,0,2,0,2,0,2,6,20,0,4,2,2,6,8,0,0,1,0,0,0,3,1,0,1,16,0,0,2,0,0,0,1,0,1,1,3,0,4,0,0,0,0,1,0,3,0,0,6,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0
28,7,4,2,1,3,0,0,1,1,0,1,2,0,26,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,7,0,4,0,2,1,2,0,0,0,0,1,0,4,1,0,0,29,0,0,3,0,0,0,1,2,1,0,3,2,14,0,0,0,2,1,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,12,1,0,1,0,0,1,0,1,2,0,1,0,0,1,1,0,0,0,0,0,7,1,0,0,0,0,1,2,0,0,0,0,0
29,10,11,4,1,1,0,0,3,0,1,0,1,0,3,0,1,0,1,3,0,1,1,2,0,0,2,1,0,2,0,1,0,0,1,34,0,4,1,2,7,11,0,0,0,3,0,0,7,1,1,0,9,0,0,1,2,0,0,1,2,0,1,1,0,5,0,0,0,0,0,2,4,2,4,3,0,1,0,0,1,0,0,1,1,0,2,4,4,0,1,2,0,5,0,0,4,0,2,0,1,0,1,3,0,0,0,1,1,0,0,0,1,0,2,3,2,0,0,0,0
30,47,35,17,8,27,5,0,3,3,0,2,0,0,13,2,1,4,10,16,0,1,21,7,0,1,11,1,1,10,4,2,0,1,21,108,0,18,2,10,24,46,0,22,4,2,1,3,27,6,2,2,61,3,0,11,3,1,0,20,2,6,5,15,6,82,0,0,1,1,0,0,18,8,12,36,0,3,0,0,23,0,5,3,1,0,3,13,6,1,4,1,2,101,0,4,7,1,1,2,5,12,4,4,6,0,0,0,1,6,3,0,1,7,6,2,9,1,0,0,0
31,11,15,7,3,1,0,0,0,0,0,1,2,1,2,1,1,0,3,4,0,0,3,5,0,0,2,0,0,3,1,1,0,0,1,18,0,3,0,2,2,6,0,0,1,0,0,0,5,2,0,0,5,3,0,2,3,0,0,1,0,1,2,4,2,17,0,0,0,1,0,2,2,0,1,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0
32,7,9,0,5,1,0,0,0,0,0,1,0,0,5,0,0,0,5,1,0,0,3,0,0,0,0,0,0,1,1,1,0,0,2,21,0,1,0,4,1,5,0,0,2,0,0,0,2,0,0,0,8,0,0,2,1,1,0,0,2,0,1,2,0,5,0,0,1,0,0,0,1,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
