,group_64,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_93,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
418,55,7,10,0,3,3,2,12,13,0,0,1,12,6,3,2,1,0,1,2,1,1,24,1,2,1,3,0,0,2,0,8,4,18,3,4,0,0,4,10,2,0,0,20,1,91,5,3,0,0,1,5,2,18,6,2,0,2,0,2,3,0,7,4,4,10,7,1,2,7,1,0,4,3,4,7,0,2,5,1,7,5,8,0,9,10,1,59,4,14,0,2,0,1,7,4,5,0,1,1,0,3,0,3,0,4,0,0,8,0,0,0,12,14,7,9,0,1,0,3
940,15,0,0,0,0,1,1,7,2,0,0,0,8,1,0,3,1,0,3,1,3,0,5,3,2,0,1,0,0,0,3,3,2,6,0,7,1,1,9,1,0,0,1,5,1,41,1,1,0,0,0,0,1,11,0,0,1,0,0,0,1,0,1,0,0,1,3,0,0,0,2,0,2,1,2,1,1,0,8,0,4,1,1,0,1,8,2,40,0,9,0,0,0,0,8,1,3,0,0,1,0,1,0,0,0,3,0,0,7,0,0,0,4,3,2,3,1,0,0,0
1717,12,1,0,0,0,0,1,3,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,4,1,3,0,0,1,1,0,0,0,0,1,21,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,1,0,2,0,0,0,0,0,2,0,1,2,0,0,1,2,0,10,2,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,4,0,0,0,0
939,9,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,11,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,1,0,0,1,0,1,0,1,0,4,1,1,9,1,2,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,1,1,2,0,0,2,0,0
2283,131,15,8,0,6,14,14,31,12,0,0,0,52,21,8,2,3,0,3,4,2,5,50,7,7,0,29,3,0,4,7,13,1,42,4,40,2,17,12,6,6,0,1,47,4,267,9,8,0,2,0,11,5,71,2,5,1,1,7,5,9,0,3,8,10,20,7,7,20,3,3,1,17,19,7,28,1,12,24,2,33,23,11,0,18,7,29,233,13,29,0,0,2,0,12,5,3,1,3,4,5,29,1,0,0,22,2,3,26,2,0,0,26,28,18,35,0,5,0,17
1662,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1045,18,6,2,0,4,4,1,27,0,0,1,0,11,7,0,0,3,1,3,1,1,1,12,2,0,0,7,0,0,1,2,8,0,14,1,5,2,1,8,3,1,0,1,5,4,56,1,0,0,1,0,2,1,24,0,0,1,0,1,5,6,0,6,0,3,7,2,8,1,6,1,0,1,3,2,6,0,2,5,0,13,2,1,0,10,5,3,38,16,7,0,0,0,0,4,10,0,0,0,1,1,8,0,3,0,6,0,0,1,0,0,0,9,6,4,6,0,1,0,4
655,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1541,16,1,1,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,2,0,2,0,0,0,1,4,2,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,1,0,4,0,3,2,0,1,0,1,0,1,0,0,19,0,5,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,5,3,2,0,0,0,0,1
389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1132,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,39,8,2,0,0,1,8,14,4,0,0,1,18,8,2,4,2,2,0,0,2,1,11,0,1,0,9,0,0,1,0,8,0,7,1,5,0,3,3,4,6,1,0,11,2,130,5,1,0,0,1,1,4,28,0,0,0,1,0,3,0,0,4,1,0,3,5,6,2,1,0,0,4,11,2,4,0,0,4,0,2,3,2,0,2,4,2,50,11,7,0,0,0,0,1,2,2,0,1,3,2,4,2,2,0,8,0,0,7,2,0,0,22,11,3,8,0,1,0,4
1947,9,5,0,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,1,1,2,0,0,2,0,16,0,0,0,0,0,2,0,8,0,0,0,0,0,1,4,0,2,3,1,0,1,3,1,0,0,0,0,1,0,3,2,1,2,0,3,0,3,1,0,6,0,6,0,4,0,0,0,0,2,1,0,0,5,0,0,1,0,0,0,2,0,0,1,0,0,0,2,4,1,0,0,0,1,1
