p_id,group_93,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_64,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
403,8,0,0,2,0,0,6,0,2,0,0,2,4,0,0,0,0,2,0,0,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,18,0,4,2,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0,6,2,0,0,0,0
822,24,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,12,0,4,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1
371,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
679,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,20,0,5,2,2,3,0,2,0,1,0,1,1,0,1,2,0,0,0,2,0,1,1,6,5,3,5,3,0,3,0,0,0,0,0,0,0,1,1,0,2,0,3,3,3,5,0,2,1,1,0,1,2,9,1,0,0,5,0,15,1,4,20,1,3,0,1,0,2,0,0,1,3,0,0,0,0,4,0,3,1,3,2,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,8,0,5,4,0,0,3,0,0,0,0,1,1,1,8,1,10,1,2,0,0,1
574,32,0,2,3,6,5,8,3,0,0,1,1,3,2,0,1,1,1,0,2,0,0,0,9,3,1,3,2,3,0,0,2,2,0,0,0,1,3,3,0,3,0,6,2,3,5,0,5,3,0,0,1,2,9,3,0,0,1,1,35,0,6,14,2,2,0,1,0,12,0,0,4,3,0,0,0,0,2,0,3,1,0,3,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,29,0,0,1,0,0,1,0,0,0,0,2,1,3,5,0,8,0,2,3,0,4
707,35,0,2,8,12,13,10,1,4,0,4,1,5,1,2,8,0,0,0,2,8,0,2,10,13,5,6,4,3,4,0,1,8,0,0,0,2,3,3,0,3,0,8,2,3,15,1,3,2,4,0,6,0,4,9,1,0,4,6,31,0,7,56,1,117,1,9,1,22,0,0,6,8,1,0,0,1,2,0,11,6,4,3,2,1,17,0,0,0,4,0,0,0,0,3,5,1,0,12,0,1,0,4,1,5,0,0,0,3,1,2,7,3,0,11,3,9,3,0,2
542,229,0,6,11,20,17,10,6,3,1,1,1,9,4,4,2,2,3,0,5,4,3,16,18,22,5,6,10,8,4,0,0,5,0,2,1,2,2,6,1,3,4,18,7,5,13,0,7,2,2,0,6,6,14,12,0,1,1,3,49,4,12,179,5,36,0,0,2,13,0,0,15,17,2,0,0,1,9,0,11,6,39,7,0,1,31,0,0,0,2,1,1,2,1,3,2,5,0,9,0,1,6,3,0,1,1,0,1,1,1,6,3,17,3,19,0,4,5,0,3
368,4,0,1,3,3,2,9,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,4,2,0,5,3,4,0,0,1,4,0,0,1,6,0,0,0,0,1,1,6,0,1,0,2,0,0,0,0,1,2,2,0,0,0,0,18,0,4,11,0,2,0,0,1,4,0,0,1,2,0,0,0,0,2,0,4,3,1,7,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,1,0,1,1,0,0,0,0,0,0,5,1,0,11,0,0,0,0,2
538,11,0,2,0,3,1,14,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,2,2,1,0,6,0,1,1,0,1,3,0,0,0,0,0,0,1,0,1,0,7,8,0,0,1,0,0,0,2,2,2,4,0,0,0,2,5,0,2,21,0,0,0,1,0,3,0,0,1,5,2,0,0,0,0,0,1,0,0,2,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,13,0,3,2,1,3,0,0,0,0,0,0,0,0,2,0,8,1,0,0,0,1
816,50,0,5,7,8,21,18,6,3,0,2,0,6,1,1,2,0,4,0,4,0,0,0,26,1,0,8,10,5,0,0,4,4,0,0,3,0,3,3,1,1,1,10,4,3,2,0,7,3,3,0,1,10,9,4,0,1,4,0,121,2,8,27,6,6,1,1,0,8,0,0,3,9,3,0,0,0,2,0,3,0,1,10,0,1,13,0,0,0,1,1,2,1,0,5,0,4,0,26,0,2,6,1,0,0,0,0,0,0,4,3,2,5,1,6,2,2,3,0,1
