p_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,0.002778743616862342,0.005437253134918141,0.010602643613090375,0.002684213572934272,0.0019379531375537961,0.0012048458651239063,0.0030121146628097656,0.0039779038086630554,0.0039689040262905146,0.0,0.002705618784839649,0.0021419482046647225,0.0035050061530877276,0.00515561951587904,0.005711861879105926,0.002141948204664722,0.005669862894700736,0.001733591172840153,0.0016131827482830543,0.0024096917302478126,0.001967095289998214,0.0022415737025561046,0.002715145611546831,0.004819383460495625,0.0024096917302478126,0.007010012306175455,0.0010515018459263182,0.0192775338419825,0.0192775338419825,0.0037866584332465624,0.0017009588684102205,0.0,0.0014828872186140386,0.00854067955024541,0.1460643910334828,0.0,0.012851689227988334,0.005379776886134651,0.003592087051301087,0.009475397990126993,0.006425844613994166,0.0020654500544981247,0.0018899542982335784,0.008567792818658888,0.0034424167574968745,0.0,0.021687225572230313,0.01126327819981,0.003212922306997083,0.0022415737025561046,0.017135585637317777,0.014956707291193319,0.006196350163494374,0.0,0.011975437689716402,0.012209104766588916,0.0007711013536793,0.0,0.0036822255653225,0.007440451658309035,0.006672992483763173,0.0031260865689701355,0.00405107595230067,0.0020140706999086195,0.010880571248235521,0.0,0.0,0.002536517610787171,0.009179778019991666,0.006425844613994166,0.07711013536793,0.010688533615356634,0.02103003691852636,0.0034137299511844007,0.00717630821854823,0.0,0.004701837522434756,0.004058428177259474,0.0,0.02326598911963405,0.0,0.008996182459591833,0.0039689040262905146,0.002940640755556653,0.0,0.006024229325619531,0.017074387117184498,0.015662996246610782,0.012048458651239062,0.0031473524639971428,0.0008032305767492708,0.025703378455976665,0.01228470293851826,0.0,0.0027539334059975,0.0026179366945902165,0.0192775338419825,0.0192775338419825,0.012048458651239062,0.015953821110606208,0.004470152774952464,0.002141948204664722,0.006688123985993929,0.0033735684223469378,0.006425844613994166,0.0192775338419825,0.002965774437228077,0.006425844613994167,0.002029214088629737,0.002628754614815795,0.0192775338419825,0.0,0.00515877666193898,0.028457311861974165,0.0059473242703988564,0.0025460893753561794,0.0014828872186140386,0.03212922306997083,0.00963876692099125,0.004819383460495625
1,0.003728556523082618,0.005585287099354529,0.010891309843741334,0.005514587262653839,0.001152519560184268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015197176526150697,0.008067636921289876,0.0,0.006406652849259608,0.0015670949415455156,0.003645626725938521,0.0,0.0,0.007598588263075349,0.001533987301935399,0.0,0.0,0.0028289116477250215,0.0,0.0,0.0,0.0,0.0,0.054456549218706664,0.0,0.0,0.27647171141804927,0.0,0.008713047874993066,0.025328627543584493,0.004058873233692422,0.0055379541578345765,0.02766046944442243,0.0,0.004271101899506405,0.04840582152773926,0.0077795070312438085,0.0,0.0,0.024474853581441195,0.04188965324515897,0.0,0.04840582152773926,0.0067601233512877236,0.015559014062487617,0.0,0.0,0.021782619687482668,0.004356523937496533,0.0,0.009789941432576478,0.003821512225874152,0.0,0.0117743890202609,0.0007892253509957488,0.0,0.013363570360418813,0.0,0.0,0.0,0.0,0.0,0.0,0.008626780074250561,0.01980238153407515,0.0,0.0015899722399622383,0.0,0.0,0.0,0.0,0.0,0.0,0.029043492916643553,0.0,0.003691969438556384,0.0,0.034035343261691664,0.02800622531247771,0.006807068652338333,0.0,0.0,0.0,0.0,0.007474428324136209,0.0,0.0,0.004482020511827709,0.0,0.054456549218706664,0.0,0.0,0.003156901403982995,0.0,0.008890865178564352,0.010891309843741334,0.0,0.0,0.0,0.0,0.002292907335524491,0.0,0.0,0.0,0.006135949207741596,0.010372676041658412,0.00463459993350695,0.01643971297168503,0.0,0.0,0.0,0.0
2,0.0,0.02222106867245943,0.0619015484447084,0.0015671278087267951,0.0,0.0,0.0,0.0,0.014565070222284331,0.0,0.004343968311909361,0.005502359861751858,0.0,0.0,0.0,0.0,0.0,0.0,0.0020720183579818713,0.0309507742223542,0.0,0.01151656715250389,0.003487411179983572,0.0,0.0154753871111771,0.0,0.009003861591957586,0.1238030968894168,0.0,0.004421539174622029,0.0072825351111421655,0.0,0.0,0.0062685112349071806,0.20951293319747463,0.0,0.00660283183410223,0.017274850728755835,0.007689633347168745,0.012590145446381372,0.02358154226465082,0.0,0.00971004681485622,0.0,0.0,0.0,0.0,0.0027820920649307148,0.006348876763559836,0.005758283576251945,0.0,0.0017076289226126457,0.008843078349244058,0.0,0.0075032179932979885,0.008253539792627787,0.0,0.0,0.011128368259722859,0.0,0.014284972718009633,0.006692059291319828,0.0035884955620120815,0.003695614832519905,0.006076225614204506,0.0,0.0,0.006515952467864042,0.03537231339697623,0.0,0.024760619377883365,0.004903092946115517,0.022509653979893966,0.0,0.0018073444801374717,0.0,0.0,0.0,0.0,0.004269072306531614,0.0,0.0,0.0,0.0,0.0,0.00773769355558855,0.003537231339697623,0.0154753871111771,0.0,0.0,0.005158462370392367,0.0,0.0030343896296425687,0.0,0.0,0.0010189555299540479,0.0,0.0309507742223542,0.0619015484447084,0.0,0.010765486686036245,0.006113733179724286,0.0,0.018570464533412524,0.0,0.0,0.0,0.015006435986595977,0.0,0.0,0.0,0.0,0.003487411179983572,0.01179077113232541,0.0026341084444556767,0.0046718149769591245,0.0,0.0,0.0,0.0
3,0.002907436293950097,0.008275010990473352,0.014343352383487145,0.004085132007955199,0.0037945376675891916,0.0,0.0,0.003415083900830272,0.010546582634917019,0.0,0.00503275522227619,0.004781117461162381,0.0,0.005003495017495516,0.0,0.0,0.004218633053966807,0.003611635492244965,0.0012002805341830246,0.0,0.0,0.014176569216237294,0.0020201904765474853,0.0,0.002241148809919866,0.0037255460736330247,0.0013039411257715586,0.0,0.003677782662432601,0.007683938776868113,0.0021093165269834035,0.0,0.011033347987297803,0.0054468426772735995,0.3558254725903542,0.0,0.011474681906789715,0.00667132668999402,0.007572577345319299,0.007293230025501939,0.03187411640774921,0.0,0.0028124220359778715,0.06374823281549842,0.005122625851245409,0.0,0.008964595239679464,0.013698707332543901,0.013791684984122253,0.0,0.0,0.015332549099589705,0.015367877553736226,0.0,0.00977955844328669,0.0023905587305811907,0.0014343352383487144,0.0,0.0008058063136790531,0.006290944027845238,0.004137505495236677,0.007753163450533592,0.0046771801250501555,0.0010703994316035182,0.014079364302809467,0.0,0.0,0.0,0.003415083900830272,0.0,0.0071716761917435725,0.002840267798710326,0.02607882251543117,0.0033617232148797993,0.004711320125962931,0.0,0.001749189315059408,0.0,0.0,0.01731094253179483,0.0,0.009562234922324763,0.0,0.0012155383375836563,0.0,0.002241148809919866,0.025613129256227045,0.011205744049599332,0.0,0.0,0.0,0.0,0.008437266107933614,0.0,0.0012806564628113522,0.0020659149523541156,0.0,0.01792919047935893,0.008964595239679464,0.001236495895128202,0.01351185369458934,0.005312352734624868,0.007318036930350583,0.0017929190479358931,0.0,0.0,0.0,0.008692940838477057,0.003774566416707143,0.0032598528144288964,0.0,0.011952793652905953,0.0010100952382737427,0.04098100680996327,0.005340609930021809,0.004059439353817116,0.0,0.0,0.0,0.0
4,0.0020409568411039122,0.002701803331693909,0.005268516496803123,0.017005970970693625,0.001672544919620039,0.0,0.0,0.0008362724598100195,0.0,0.26342582484015614,0.0027729034193700645,0.015220158768542356,0.009579120903278405,0.008576654762237642,0.0039026048124467575,0.0,0.007747818377651651,0.0017056348370945362,0.0006613200623602245,0.0,0.0,0.004288327381118821,0.0014840891540290487,0.013171291242007808,0.001646411405250976,0.010947566746603892,0.0009579120903278405,0.0,0.004052704997540864,0.0028224195518588156,0.0030991273510606603,0.0,0.004052704997540864,0.0066690082238014215,0.13981832241515982,0.05268516496803123,0.011239501859846663,0.006126181973026887,0.0009817111484726317,0.011162111222040513,0.001672544919620039,0.0018816130345725437,0.005165212251767767,0.0,0.0018816130345725437,0.0,0.026342582484015616,0.00887952218562324,0.002026352498770432,0.0012252363946053774,0.017561721656010408,0.0076302652712321095,0.005644839103717631,0.0,0.004789560451639203,0.010537032993606246,0.0010537032993606246,0.0,0.0,0.004621505698950108,0.00506588124692608,0.00569569351005743,0.0015271062309574269,0.0007863457457915108,0.0042018843226037175,0.0,0.0,0.0013864517096850322,0.005017634758860117,0.0,0.03687961547762186,0.004694717670418624,0.0,0.000823205702625488,0.00307650598353467,0.0,0.0012850040236105178,0.0,0.0,0.026342582484015616,0.0,0.003512344331202082,0.0,0.0008929688977632412,0.0,0.00823205702625488,0.004515871282974105,0.003292822810501952,0.006585645621003904,0.004300829793308671,0.0010976076035006505,0.017561721656010408,0.0012913030629419417,0.0,0.0028224195518588156,0.0017344910277541147,0.0,0.006585645621003904,0.026342582484015616,0.004541824566209589,0.0007635531154787134,0.0013008682708155858,0.0021504148966543356,0.003951387372602343,0.017561721656010408,0.0,0.0,0.0031930403010928016,0.0022183227354960517,0.0023947802258196013,0.0,0.0,0.0029681783080580974,0.0,0.008407207175749665,0.0,0.004052704997540864,0.035123443312020816,0.0,0.006585645621003904
5,0.00249493488694248,0.005259976684722037,0.020513909070415944,0.01038678940274225,0.0021707840286154436,0.010684327640841637,0.0,0.0048842640643847485,0.006033502667769396,0.0,0.003598931415862446,0.0045586464600924324,0.0,0.009541353056007416,0.0075977441001540535,0.001424577018778885,0.0,0.001475820796432802,0.000858322555247529,0.0,0.0,0.001192669132000927,0.004333924451496326,0.0,0.019231789753514947,0.041294232544343785,0.0018649008245832676,0.0,0.015779930054166114,0.0018315990241442807,0.003016751333884698,0.0,0.007889965027083057,0.01038678940274225,0.31165361856978074,0.0,0.017778721194360487,0.004770676528003708,0.01592694803603722,0.00956156778705828,0.02279323230046216,0.0,0.004022335111846263,0.01139661615023108,0.0036631980482885614,0.007326396096577123,0.0,0.010372201215378848,0.003944982513541528,0.007156014792005562,0.0,0.007427449835840256,0.0,0.0,0.007770420102430282,0.006837969690138648,0.0020513909070415943,0.0,0.0,0.007197862831724892,0.005917473770312292,0.002772149874380533,0.002601401512552747,0.0,0.009438915216449054,0.0,0.0,0.0026991985618968345,0.009768528128769497,0.0,0.06154172721124784,0.005077700264954442,0.0,0.0026710819102104093,0.005240779689522321,0.0,0.0,0.0,0.0,0.0035368808742096457,0.0,0.013675939380277296,0.003016751333884698,0.006953867481496931,0.0036631980482885614,0.012821193169009966,0.0014652792193154246,0.006410596584504983,0.0,0.0020932560275934635,0.010684327640841637,0.0,0.003016751333884698,0.0,0.005494797072432842,0.002954678261171021,0.0,0.038463579507029895,0.0,0.0035368808742096457,0.011892121200241128,0.002532581366718018,0.0020932560275934635,0.005128477267603986,0.0,0.0,0.0,0.006216336081944226,0.003239038274276202,0.0,0.03418984845069324,0.0,0.001444641483832109,0.02442132032192374,0.00982048838477359,0.013546921084236944,0.0,0.0,0.0,0.0
6,0.002243044776885015,0.04256033679217721,0.08299265674474555,0.0026263498969856186,0.004025217037884484,0.0043225342054554975,0.0,0.0021955729297551733,0.0020341337437437632,0.0,0.001213342934864701,0.007684505254143107,0.0,0.01286707856507683,0.0025615017513810354,0.0048028157838394415,0.0020341337437437632,0.00323412631199548,0.0017362480490532538,0.0,0.001411439740556897,0.0032167696412692074,0.0038963688612556596,0.0,0.0,0.005389133554853607,0.0025149289922650163,0.03458027364364398,0.0035466947326814337,0.011115087956885563,0.010170668718718818,0.0,0.005320042099022151,0.005252699793971237,0.1622612840201756,0.0,0.016598531348949112,0.0016083848206346037,0.006443529250368443,0.016410977322407313,0.024151302227306905,0.007410058637923709,0.0040682674874875265,0.0,0.007410058637923709,0.0,0.0,0.009325017611769163,0.015073452613896093,0.0016083848206346037,0.007684505254143106,0.013593624811639357,0.009880078183898279,0.0,0.010478870801104236,0.004610703152485864,0.0027664218914915184,0.0,0.006993763208826872,0.006066714674323505,0.010640084198044302,0.013084427865162587,0.0037587253960482585,0.018580445539868408,0.011456041575194939,0.0,0.0,0.0036400288045941027,0.0032933593946327597,0.0,0.0,0.006162821045401897,0.006287322480662542,0.0018010559189397903,0.015144645391376924,0.0,0.0016868426167631209,0.0,0.0,0.04292723624728218,0.0,0.004610703152485864,0.0,0.004688850663544946,0.0,0.008645068410910995,0.0424843361907626,0.0043225342054554975,0.0,0.004234319221670691,0.0028816894703036647,0.023053515762429318,0.0027121783249916846,0.0,0.0024700195459745698,0.0017076678342540237,0.0,0.01729013682182199,0.05187041046546597,0.009539385832729372,0.005011633861397679,0.0025615017513810354,0.002822879481113794,0.010374082093093194,0.0,0.0,0.0,0.01676619328176678,0.002184017282756462,0.0,0.0,0.0,0.006818645507197405,0.023053515762429318,0.0022072515091687644,0.003914747959657809,0.005320042099022151,0.0,0.0,0.0
7,0.0028653750636062226,0.01467953686432111,0.06997245905326396,0.00402603331721887,0.014808986043018826,0.0,0.0,0.0020194071876843854,0.0037418427301210673,0.0,0.00669592909600612,0.0056543401255162795,0.0,0.007396665861867226,0.004711950104596899,0.0,0.0,0.001830541767253472,0.0005323123549126204,0.0,0.0,0.007396665861867226,0.002687802524453161,0.0,0.003975707900753634,0.008261211222345214,0.0023131391422566597,0.0,0.009786357909547407,0.004543666172289867,0.007483685460242135,0.0,0.0,0.012883306615100383,0.1565817265527585,0.0,0.005088906112964651,0.005917332689493781,0.003951014062860754,0.008625264598245173,0.058562808442847177,0.004543666172289867,0.01496737092048427,0.0,0.004543666172289867,0.0,0.0,0.02001255212963627,0.006524238606364937,0.0,0.0,0.021496241339247234,0.01817466468915947,0.0,0.0038552319037610996,0.00848151018827442,0.010177812225929303,0.0,0.002858936018519467,0.011159881826676866,0.02446589477386852,0.010315350228982402,0.005531419688005056,0.001898845564539049,0.018732169740974178,0.0,0.0,0.00334796454800306,0.006058221563053156,0.0,0.0,0.006298151129906747,0.0,0.006626179834589389,0.008357692521292311,0.0,0.006205983064591038,0.0,0.0,0.03509590422734243,0.0,0.01696302037654884,0.0,0.0064689484486838795,0.004543666172289867,0.007951415801507268,0.0072698658756637875,0.023854247404521804,0.0,0.007789142009639772,0.0,0.042407550941372094,0.005612764095181601,0.0,0.0068154992584348005,0.002617750058109389,0.0,0.031805663206029074,0.04770849480904361,0.0,0.011062839376010112,0.003141300069731266,0.0025963806698799242,0.006361132641205814,0.0,0.0,0.009786357909547407,0.011565695711283299,0.0040175574576036726,0.005782847855641649,0.0,0.0,0.0,0.024232886252212624,0.008120594861113805,0.004800854823551558,0.0,0.0,0.0,0.0
8,0.003004729575338411,0.024168477019026347,0.05800434484566324,0.0009177902665453044,0.004603519432195495,0.012084238509513174,0.0,0.0023017597160977475,0.004265025356298768,0.0,0.010176200850116357,0.0,0.0,0.010117036891685449,0.0,0.0,0.008530050712597536,0.0005216218061660364,0.002426960035383399,0.01812635776426976,0.0,0.006744691261123632,0.002042406508650114,0.0,0.0,0.0037665158990690417,0.0,0.0,0.0,0.007768439041829897,0.008530050712597536,0.0,0.011154681701089086,0.0018355805330906088,0.2509803382745044,0.0,0.007733912646088433,0.0,0.0045034429227999405,0.011060150500232398,0.013810558296586485,0.0,0.0028433502375325116,0.016112318012684233,0.0,0.0,0.01812635776426976,0.014664019764353066,0.0,0.006744691261123632,0.0,0.03750280916745468,0.015536878083659795,0.0,0.010985671372284704,0.0048336954038052694,0.005800434484566324,0.005178959361219932,0.013034684234980503,0.005088100425058179,0.0027886704252722714,0.011757637468715523,0.0015762050229799793,0.0021643412255844493,0.002668911572653217,0.0,0.0,0.0,0.0,0.0,0.0,0.014357511100411693,0.0,0.0037763245342228666,0.009526261014798707,0.0,0.010610550886401813,0.0,0.0,0.02500187277830312,0.0,0.009667390807610539,0.004265025356298768,0.002457811222273866,0.005178959361219932,0.03172112608747208,0.010357918722439864,0.00906317888213488,0.0,0.0,0.0,0.0,0.002487931457840948,0.07250543105707905,0.0,0.00119350503797661,0.0,0.0,0.01812635776426976,0.0050003745556606236,0.0021016066973066393,0.0,0.005918810698537065,0.007250543105707905,0.0,0.0,0.011154681701089086,0.004394268548913882,0.0015264301275174537,0.013182805646741645,0.0,0.024168477019026347,0.004084813017300228,0.0,0.021597362442534185,0.0027360540021539263,0.0,0.0,0.0,0.0
9,0.0015838167489376604,0.011932375054213596,0.012926739642064729,0.004254370008780797,0.0032829814963973914,0.0064633698210323645,0.0,0.009848944489192175,0.0030415857981328774,0.0,0.0036285584960181693,0.0057452176186954355,0.0,0.01322736149420577,0.001915072539565145,0.003590761011684647,0.0015207928990664387,0.0016739662845839218,0.0028125123907421167,0.0,0.0010552440524134472,0.039682084482617314,0.0014565340441763076,0.0,0.004847527365774274,0.018802530388457788,0.0,0.012926739642064729,0.010606555603745418,0.0018466770917235328,0.0030415857981328774,0.0,0.007954916702809064,0.008508740017561594,0.2525686053141878,0.0,0.012409670056382141,0.002404974817128322,0.004817418500148346,0.0065729184620668115,0.036112796460371306,0.009233385458617663,0.0,0.005745217618695435,0.0036933541834470655,0.0,0.012926739642064729,0.013943449501552966,0.012595284779447685,0.001202487408564161,0.0,0.016225286999005384,0.0036933541834470655,0.0,0.009401265194228894,0.0017235652856086305,0.0010341391713651784,0.0018466770917235328,0.0005809770625647069,0.012699954736063593,0.01690419799346926,0.0069874268335485025,0.004496257266805123,0.002315236950817563,0.024108765958206612,0.0,0.0,0.0013607094360068136,0.007386708366894131,0.0,0.005170695856825892,0.010750951781519181,0.023503162985572236,0.002693070758763485,0.003774230552427658,0.0,0.0012611453309331444,0.0,0.0,0.005348995713957819,0.0,0.0,0.007603964495332194,0.004381945641377874,0.0,0.0064633698210323645,0.010341391713651782,0.008079212276290456,0.0,0.0,0.001077228303505394,0.0,0.003675249506077227,0.0,0.0,0.0019150725395651453,0.034471305712172606,0.019390109463097095,0.019390109463097095,0.007131994285277092,0.011240643167012808,0.00383014507913029,0.005276220262067236,0.001292673964206473,0.0,0.051706958568258916,0.0,0.004700632597114447,0.003265702646416353,0.0,0.034471305712172606,0.0,0.0021848010662644615,0.014773416733788262,0.002750370136609517,0.0029268089755618257,0.001988729175702266,0.0,0.0,0.0
